Période,Trimestre,Nom du bénéficiaire,Ville,Province,Pays,Titre,Langue,Genre,Date,Valeur finale,Valeur originale,Type,Objectif, 
2012-2013,P4,Lumino Pictures Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Lumino Pictures Inc.,Anglais,Comédie romantique,2013-01-18,25600.00,25600.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,Free Spirit Films Inc. ,Toronto,Ontario,Canada,Portfolio 2012-2013 Free Spirit Films Inc.,Anglais,Horreur/Suspense,2013-01-18,16000.00,16000.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,Amaze Film + Television Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Amaze Film + Television Inc.,Anglais,Comédie,2013-01-18,25000.00,25000.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,Alcina Pictures Ltd.,Toronto,Ontario,Canada,Portfolio 2012-2013 Alcina Pictures Ltd.,Anglais,Action/Aventure,2013-01-18,25000.00,25000.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,No Equal Entertainment Inc.,Vancouver,Colombie-Britannique,Canada,Portfolio 2012-2013 No Equal Entertainment Inc.,Anglais,Horreur/Suspense,2013-01-21,25000.00,25000.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,422 Film Productions Inc.,Vancouver,Colombie-Britannique,Canada,Portfolio 2012-2013 Submission Film Productions Inc.,Anglais,Comédie,2013-01-21,15000.00,15000.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,Productions du Rapide-Blanc Inc. (Les),Montréal,Québec,Canada,Nord au coeur (Le),Français,Documentaire,2013-01-21,10000.00,10000.00,Avance remboursable,Programme de mise en marché,
2012-2013,P4,Aetios Productions Inc.,Saint-Sauveur,Québec,Canada,Portfolio 2012-2013 Aetios Productions Inc.,Français,Comédie,2013-01-21,35500.00,35500.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,Winnipeg Film Group Inc.,Winnipeg,Manitoba,Canada,Gimme Some Truth Documentary Forum,Anglais,0,2013-01-21,3500.00,3500.00,Contribution,Programme de promotion,
2012-2013,P4,Reel to Real: A Celebration Of Moving Images For Youth Society,Vancouver,Colombie-Britannique,Canada,Reel 2 Real International Film Festival for Youth - 15th Annual (2013),Anglais,0,2013-01-21,8500.00,8500.00,Contribution,Programme de promotion,
2012-2013,P4,Entertainment One Films Canada Inc.,Toronto,Ontario,Canada,Edwin Boyd: Citizen Gangster,Anglais,Drame,2013-01-22,149032.00,17250.00,Avance remboursable,Programme de mise en marché,Contrat amendé signé le 01-MAR-12
2012-2013,P4,Darius Films Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Darius Films Inc.,Anglais,Drame,2013-01-22,17000.00,32700.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 22-JAN-13
2012-2013,P4,Darius Films Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Darius Films Inc.,Anglais,Drame historique,2013-01-22,32700.00,32700.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 22-JAN-13
2012-2013,P4,Les Films du Boulevard Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Films du Boulevard Inc.,Anglais,Drame,2013-01-22,15000.00,45000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 22-JAN-13
2012-2013,P4,Les Films du Boulevard Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Films du Boulevard Inc.,Français,Drame,2013-01-22,30000.00,45000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 22-JAN-13
2012-2013,P4,Les Films du Boulevard Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Films du Boulevard Inc.,Français,Horreur/Suspense,2013-01-22,45000.00,45000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 22-JAN-13
2012-2013,P4,Coralie Films Inc.,Montréal,Québec,Canada,Ange gardien (L'),Français,Drame,2013-01-22,200000.00,200000.00,Avance remboursable,Programme d'aide à la production,
2012-2013,P4,Zazie Films Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Zazie Films Inc.,Français,Drame,2013-01-22,40000.00,40000.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,Association des propriétaires de cinémas du Québec,Montréal,Québec,Canada,APCCQ - MISE À JOUR SITE WEB,Français,0,2013-01-22,5000.00,5000.00,Contribution,Programme de promotion,
2012-2013,P4,Orange Médias Inc.,Rosemère,Québec,Canada,Portfolio 2012-2013 Orange Médias Inc.,Français,Comédie,2013-01-23,25000.00,50000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 23-JAN-13
2012-2013,P4,Orange Médias Inc.,Rosemère,Québec,Canada,Portfolio 2012-2013 Orange Médias Inc.,Français,Comédie romantique,2013-01-23,50000.00,50000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 23-JAN-13
2012-2013,P4,Cinémaginaire inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Cinémaginaire Inc. - 2,Anglais,Comédie,2013-01-23,45216.00,123216.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 23-JAN-13
2012-2013,P4,Cinémaginaire inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Cinémaginaire Inc. - 2,Français,Comédie,2013-01-23,85216.00,123216.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 23-JAN-13
2012-2013,P4,Cinémaginaire inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Cinémaginaire Inc. - 2,Français,Mystère/Crime/Police,2013-01-23,123216.00,123216.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 23-JAN-13
2012-2013,P4,Forum Films 2005 Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Forum Films 2005 Inc.,Français,Comédie,2013-01-23,60000.00,60000.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,Praxis Centre For Screenwriters,Vancouver,Colombie-Britannique,Canada,Praxis Summer 2012 & Fall 2012 Workshops,Anglais,0,2013-01-23,15000.00,15000.00,Contribution,Programme de promotion,
2012-2013,P4,9097-4767 Québec inc.,Montréal,Québec,Canada,Portfolio 2012-2013 9097-4767 Québec Inc.,Français,Comédie,2013-01-24,15000.00,60000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 24-JAN-13
2012-2013,P4,9097-4767 Québec inc.,Montréal,Québec,Canada,Portfolio 2012-2013 9097-4767 Québec Inc.,Français,Drame,2013-01-24,45000.00,60000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 24-JAN-13
2012-2013,P4,9097-4767 Québec inc.,Montréal,Québec,Canada,Portfolio 2012-2013 9097-4767 Québec Inc.,Français,Science-fiction/Film fantastique/Conte,2013-01-24,60000.00,60000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 24-JAN-13
2012-2013,P4,Kunuk Cohn Productions Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Kunuk Cohn Productions Inc.,Anglais,Action/Aventure,2013-01-24,37500.00,75000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 24-JAN-13
2012-2013,P4,Kunuk Cohn Productions Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Kunuk Cohn Productions Inc.,Anglais,Drame,2013-01-24,75000.00,75000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 24-JAN-13
2012-2013,P4,Microscope inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Microscope Inc. - 2,Français,Comédie,2013-01-24,22624.00,82194.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 24-JAN-13
2012-2013,P4,Microscope inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Microscope Inc. - 2,Français,Drame,2013-01-24,60644.00,82194.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 24-JAN-13
2012-2013,P4,Microscope inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Microscope Inc. - 2,Français,Science-fiction/Film fantastique/Conte,2013-01-24,82194.00,82194.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 24-JAN-13
2012-2013,P4,D Films Corporation,Toronto,Ontario,Canada,Revolution,Anglais,Documentaire,2013-01-24,837500.00,37500.00,Avance remboursable,Programme de mise en marché,Contrat amendé signé le 26-OCT-12
2012-2013,P4,Melenny Productions Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Melenny Productions Inc.,Français,Comédie,2013-01-24,53000.00,53000.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,Mulmur Feed Co. Ltd.,Mansfield,Ontario,Canada,Portfolio 2012-2013 Mulmur Feed Co. Ltd. ,Anglais,Drame,2013-01-24,79765.00,79765.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,Northern Visions Independent Video & Film Association,Toronto,Ontario,Canada,Images Festival 2013,Anglais,0,2013-01-24,21250.00,21250.00,Contribution,Programme de promotion,
2012-2013,P4,Canadian Media Production Association - Association Canadienne de Production de Média,Ottawa,Ontario,Canada,CMPA Prime Time in Ottawa 2013,Anglais,0,2013-01-24,20000.00,20000.00,Contribution,Programme de promotion,
2012-2013,P4,Sheltered Pictures Inc.,Halifax,Nouvelle-Écosse,Canada,Bunker 6,Anglais,Drame,2013-01-24,60000.00,60000.00,Investissement,Programme d'aide à la production,
2012-2013,P4,Entertainment One Films Canada Inc.,Toronto,Ontario,Canada,Mama,Anglais,Horreur/Suspense,2013-01-25,1500000.00,1500000.00,Avance remboursable,Programme de mise en marché,
2012-2013,P4,Kingston Canadian Film Festival,Kingston,Ontario,Canada,Kingston Canadian Film Festival 2013,Anglais,0,2013-01-25,3000.00,3000.00,Contribution,Programme de promotion,
2012-2013,P4,Aviva Communications Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Aviva Communications Inc.,Français,Comédie,2013-01-28,30000.00,45000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 28-JAN-13
2012-2013,P4,Aviva Communications Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Aviva Communications Inc.,Français,Horreur/Suspense,2013-01-28,45000.00,45000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 28-JAN-13
2012-2013,P4,Middle Child Films Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Middle Child Films Inc.,Anglais,Comédie romantique,2013-01-28,25000.00,25000.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,Hot Docs,Toronto,Ontario,Canada,2013 Hot Docs Festival and Hot Docs Forum & Market,Anglais,0,2013-01-28,160000.00,160000.00,Contribution,Programme de promotion,
2012-2013,P4,Independent Production Fund/Fonds indépendant de production,Toronto,Ontario,Canada,Digital Marketing Workshop 2012,Anglais,0,2013-01-28,20000.00,20000.00,Contribution,Programme de promotion,
2012-2013,P4,Women In Film & Television Toronto,Toronto,Ontario,Canada,WIFT-T Development Incubator 12-13,Anglais,0,2013-01-28,30000.00,30000.00,Contribution,Programme de promotion,
2012-2013,P4,Hot Docs,Toronto,Ontario,Canada,Bloor Hot Docs Cinema/ 20th Anniversary,Anglais,0,2013-01-28,25000.00,25000.00,Contribution,Programme de promotion,
2012-2013,P4,Les Productions La Fête Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Les Productions La Fête Inc.,Français,Action/Aventure,2013-01-29,25000.00,46000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 29-JAN-13
2012-2013,P4,Les Productions La Fête Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Les Productions La Fête Inc.,Français,Drame historique,2013-01-29,46000.00,46000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 29-JAN-13
2012-2013,P4,Markham Street Films Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Markham Street Films Inc.,Anglais,Comédie,2013-01-30,16000.00,31000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 30-JAN-13
2012-2013,P4,Markham Street Films Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Markham Street Films Inc.,Anglais,Drame,2013-01-30,31000.00,31000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 30-JAN-13
2012-2013,P4,EMAfilms Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 EMA FILMS INC.,Anglais,Drame,2013-01-30,15000.00,50000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 30-JAN-13
2012-2013,P4,EMAfilms Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 EMA FILMS INC.,Français,Drame,2013-01-30,50000.00,50000.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 30-JAN-13
2012-2013,P4,David Gross Productions Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 David Gross Productions Inc.,Anglais,Comédie,2013-01-30,193711.00,193711.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,9273-2569 Québec Inc.,Québec,Québec,Canada,Il était une fois Les Boys,Français,Comédie,2013-01-31,2614639.00,2614639.00,"Investissement, Avance remboursable",Programme d'aide à la production,
2012-2013,P4,Howie Role Productions Inc.,Vancouver,Colombie-Britannique,Canada,Portfolio 2012-2013 Proper Media Group Ltd.,Anglais,Comédie,2013-02-01,15120.00,59646.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 01-FEB-13
2012-2013,P4,Howie Role Productions Inc.,Vancouver,Colombie-Britannique,Canada,Portfolio 2012-2013 Proper Media Group Ltd.,Anglais,Mystère/Crime/Police,2013-02-01,34720.00,59646.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 01-FEB-13
2012-2013,P4,Howie Role Productions Inc.,Vancouver,Colombie-Britannique,Canada,Portfolio 2012-2013 Proper Media Group Ltd.,Anglais,Science-fiction/Film fantastique/Conte,2013-02-01,59646.00,59646.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 01-FEB-13
2012-2013,P4,Copperheart Entertainment Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Copperheart Entertainment Inc.,Anglais,Comédie,2013-02-05,26516.00,134779.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 05-FEB-13
2012-2013,P4,Copperheart Entertainment Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Copperheart Entertainment Inc.,Anglais,Horreur/Suspense,2013-02-05,49776.00,134779.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 05-FEB-13
2012-2013,P4,Copperheart Entertainment Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Copperheart Entertainment Inc.,Anglais,Science-fiction/Film fantastique/Conte,2013-02-05,134779.00,134779.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 05-FEB-13
2012-2013,P4,Mongrel Media Inc.,Toronto,Ontario,Canada,End of Time (The),Anglais,Documentaire,2013-02-05,19538.00,19538.00,Avance remboursable,Programme de mise en marché,
2012-2013,P4,Mongrel Media Inc.,Toronto,Ontario,Canada,Still Mine,Anglais,Drame,2013-02-05,50000.00,50000.00,Avance remboursable,Programme de mise en marché,
2012-2013,P4,Productions Komona Inc.,Montréal,Québec,Canada,Rebelle (aka Komona),Français,Drame,2013-02-06,150000.00,100000.00,Contribution,Programme de mise en marché à l'international,Contrat amendé signé le 13-NOV-12
2012-2013,P4,Jane Losa Films Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Lusio Films Inc.,Français,Comédie,2013-02-06,25000.00,25000.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,Rhombus Media (Antiviral) Inc.,Toronto,Ontario,Canada,Antiviral,Anglais,Horreur/Suspense,2013-02-06,10000.00,10000.00,Contribution,Programme de mise en marché à l'international,
2012-2013,P4,Funfilm Distribution Inc.,Montréal,Québec,Canada,Météore (Le),Français,Drame,2013-02-06,5000.00,5000.00,Contribution,Programme de mise en marché à l'international,
2012-2013,P4,Funfilm Distribution Inc.,Montréal,Québec,Canada,Météore (Le),Français,Drame,2013-02-06,10500.00,10500.00,Contribution,Programme de mise en marché à l'international,
2012-2013,P4,Reprise Films Inc.,Ville Mont-Royal,Québec,Canada,Avant que mon coeur bascule,Français,Drame,2013-02-06,10000.00,10000.00,Contribution,Programme de mise en marché à l'international,
2012-2013,P4,9199-1265 Québec inc.,Montréal,Québec,Canada,Reluctant Yogi (The),Anglais,Documentaire,2013-02-06,125000.00,125000.00,Investissement,Programme pour le long métrage documentaire,
2012-2013,P4,Conquering Lion Pictures Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Conquering Lion Pictures Inc.,Anglais,Drame,2013-02-07,46280.00,83926.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 07-FEB-13
2012-2013,P4,Conquering Lion Pictures Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Conquering Lion Pictures Inc.,Français,Film musical,2013-02-07,68926.00,83926.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 07-FEB-13
2012-2013,P4,Conquering Lion Pictures Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Conquering Lion Pictures Inc.,Anglais,Horreur/Suspense,2013-02-07,83926.00,83926.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 07-FEB-13
2012-2013,P4,2296613 Ontario Inc.,Toronto,Ontario,Canada,Picture Day,Anglais,Comédie,2013-02-07,0.00,200000.00,"Investissement, Avance remboursable",Programme d'aide à la production,Contrat amendé signé le 16-SEP-11
2012-2013,P4,9271-3882 Québec inc.,Montréal,Québec,Canada,Amour au temps de la guerre civile (L'),Français,Drame,2013-02-07,200000.00,200000.00,Avance remboursable,Programme d'aide à la production,
2012-2013,P4,Snitch Pictures Inc.,Toronto,Ontario,Canada,Picture Day,Anglais,Comédie,2013-02-08,245000.00,245000.00,Investissement,Programme d'aide à la production,
2012-2013,P4,ReelWorld Film Festival Inc.,Toronto,Ontario,Canada,ReelWorld Film Festival 2013,Anglais,0,2013-02-12,25500.00,25500.00,Contribution,Programme de promotion,
2012-2013,P4,Emotion Pictures Incorporated,Halifax,Nouvelle-Écosse,Canada,Portfolio 2012-2013 Emotion Pictures Incorporated,Anglais,Drame,2013-02-13,42920.00,17920.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 28-AUG-12
2012-2013,P4,Freddie Films Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Freddie Films Inc.,Anglais,Drame,2013-02-15,25000.00,25000.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,Canadian Media Production Association - Association Canadienne de Production de Média,Ottawa,Ontario,Canada,Telefilm Canada Marketing Mentorship Program 2013-2014,Anglais,0,2013-02-15,57375.00,57375.00,Contribution,Programme de promotion,
2012-2013,P4,9185-6138 Québec Inc.,Montréal,Québec,Canada,Diego Star,Français,Drame,2013-02-15,8000.00,8000.00,Contribution,Programme de mise en marché à l'international,
2012-2013,P4,Solofilms Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Solofilms Inc.,Français,Comédie romantique,2013-02-18,16350.00,71350.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 18-FEB-13
2012-2013,P4,Solofilms Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Solofilms Inc.,Français,Drame,2013-02-18,46350.00,71350.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 18-FEB-13
2012-2013,P4,Solofilms Inc.,Montréal,Québec,Canada,Portfolio 2012-2013 Solofilms Inc.,Anglais,Science-fiction/Film fantastique/Conte,2013-02-18,71350.00,71350.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 18-FEB-13
2012-2013,P4,Pixel Québec,Québec,Québec,Canada,Rencontres cinématographiques de Québec 2013,Français,0,2013-02-18,20000.00,20000.00,Contribution,Programme de promotion,
2012-2013,P4,Lunar Base Productions Inc.,Toronto,Ontario,Canada,Lunarcy!,Anglais,Documentaire,2013-02-18,5000.00,5000.00,Contribution,Programme de mise en marché à l'international,
2012-2013,P4,"Femmes du cinema, de la television et des médias numériques",Montréal,Québec,Canada,FCTNM (22e),Français,0,2013-02-18,15000.00,15000.00,Contribution,Programme de promotion,
2012-2013,P4,Festival du nouveau cinéma de Montréal ,Montréal,Québec,Canada,Cartes blanches 2012-2013,Français,0,2013-02-18,20000.00,20000.00,Contribution,Programme de promotion,
2012-2013,P4,Narrow Path Productions Inc.,Toronto,Ontario,Canada,Empire Of Dirt,Anglais,Drame,2013-02-19,0.00,200000.00,"Investissement, Avance remboursable",Programme d'aide à la production,Contrat amendé signé le 12-SEP-12
2012-2013,P4,Sienna Films Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Sienna Films Inc.,Anglais,Comédie,2013-02-19,98943.00,73943.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 14-NOV-12
2012-2013,P4,BP (Québec) Productions Inc.,Outremont,Québec,Canada,Portfolio 2012-2013 Media-Max Inc.,Anglais,Drame historique,2013-02-19,30000.00,30000.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,New Real Films Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 New Real Films Inc.,Anglais,Drame,2013-02-20,47500.00,62500.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 20-FEB-13
2012-2013,P4,New Real Films Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 New Real Films Inc.,Anglais,Science-fiction/Film fantastique/Conte,2013-02-20,62500.00,62500.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 20-FEB-13
2012-2013,P4,Julijette Inc.,Winnipeg,Manitoba,Canada,Big Bluff,Anglais,Drame,2013-02-20,23288.00,29110.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 22-SEP-04
2012-2013,P4,Shaftesbury Films Inc.,Toronto,Ontario,Canada,Portfolio 2012-2013 Shaftesbury Films Inc.,Anglais,Horreur/Suspense,2013-02-21,22722.00,22722.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,L'Oeil Fou inc.,Montréal,Québec,Canada,Arbre et le nid (L'),Français,Documentaire,2013-02-21,10000.00,10000.00,Avance remboursable,Programme de mise en marché,
2012-2013,P4,Funfilm Distribution Inc.,Montréal,Québec,Canada,Météore (Le),Français,Drame,2013-02-21,22000.00,22000.00,Avance remboursable,Programme de mise en marché,
2012-2013,P4,Marlene Productions Inc.,Vancouver,Colombie-Britannique,Canada,Sitting on the Edge of Marlene,Anglais,Drame,2013-02-21,520000.00,520000.00,Investissement,Programme d'aide à la production,
2012-2013,P4,Productions Miraculum Inc.,Montréal,Québec,Canada,Miraculum,Français,Drame,2013-02-21,1600000.00,1600000.00,"Investissement, Avance remboursable",Programme d'aide à la production,
2012-2013,P4,Debug (Copperheart) Productions Inc.,Toronto,Ontario,Canada,Debug,Anglais,Science-fiction/Film fantastique/Conte,2013-02-22,1400000.00,1400000.00,Investissement,Programme d'aide à la production,
2012-2013,P4,Crazy8s Film Society,Vancouver,Colombie-Britannique,Canada,Crazy8s 2013,Anglais,0,2013-02-25,25000.00,25000.00,Contribution,Programme de promotion,
2012-2013,P4,On Screen Manitoba ,Winnipeg,Manitoba,Canada,On Screen Manitoba and MFM 25th Anniversary,Anglais,0,2013-02-25,5000.00,5000.00,Contribution,Programme de promotion,
2012-2013,P4,Revolutionary Films Inc.,Toronto,Ontario,Canada,Revolution,Anglais,Documentaire,2013-02-25,125000.00,125000.00,Investissement,Programme pour le long métrage documentaire,
2012-2013,P4,4181743 Canada Inc.,Montréal,Québec,Canada,Ayiti Toma (AKA À la rescousse des zombies),Français,Documentaire,2013-02-25,57000.00,57000.00,Investissement,Programme pour le long métrage documentaire,
2012-2013,P4,Silent H Productions Inc.,Victoria,Colombie-Britannique,Canada,Jackhammer,Anglais,Comédie,2013-02-26,62000.00,50000.00,"Investissement, Avance remboursable",Programme d'aide à la production,Contrat amendé signé le 18-JAN-12
2012-2013,P4,Production Lune-Soleil (faisant affaire sous le nom de Films Prana 2000 Inc.),Saint-Lambert,Québec,Canada,Criminelles (Les),Français,Documentaire,2013-02-26,20000.00,20000.00,Avance remboursable,Programme de mise en marché,
2012-2013,P4,Film Zone Inc.,Moncton,Nouveau-Brunswick,Canada,Initiative de diffusion du cinéma de Film Zone,Français,0,2013-02-26,10000.00,10000.00,Contribution,Programme de promotion,
2012-2013,P4,Écho Média Productions II Inc.,Montréal,Québec,Canada,MEMORIES CORNER,Français,Drame,2013-02-27,133671.00,150000.00,"Investissement, Avance remboursable",Programme d'aide à la production,Contrat amendé signé le 17-NOV-10
2012-2013,P4,Mars et Avril Inc.,Montréal,Québec,Canada,Mars et Avril,Français,Science-fiction/Film fantastique/Conte,2013-02-27,9032.00,8032.00,Contribution,Programme de mise en marché à l'international,Contrat amendé signé le 26-JUL-12
2012-2013,P4,9264-2446 Québec Inc. ,Outremont,Québec,Canada,Portfolio 2012-2013 Jessie Films II (9264-2446 Québec Inc.),Français,Action/Aventure,2013-02-27,50000.00,50000.00,Avance remboursable,Programme d'aide au développement,
2012-2013,P4,Narrow Path Productions Inc.,Toronto,Ontario,Canada,Empire Of Dirt,Anglais,Drame,2013-02-27,200000.00,200000.00,Investissement,Programme d'aide à la production,
2012-2013,P4,9219-3010 Québec Inc.,Montréal,Québec,Canada,Vic & Flo ont vu un ours,Français,Drame,2013-02-28,18000.00,18000.00,Contribution,Programme de mise en marché à l'international,
2012-2013,P4,9251-5980 Québec Inc.,Montréal,Québec,Canada,Félix et Meira,Français,Comédie romantique,2013-03-01,200000.00,200000.00,Avance remboursable,Programme d'aide à la production,
2012-2013,P4,Revue Qui Fait Quoi inc.,Repentigny,Québec,Canada,Projet COLUMBUS 2012,Français,0,2013-03-01,1000.00,1000.00,Contribution,Programme de promotion,
2012-2013,P4,9249-9847 Québec inc.,Montréal,Québec,Canada,Bidonville : Architectures de la ville future,Français,Documentaire,2013-03-01,18000.00,18000.00,Investissement,Programme pour le long métrage documentaire,
2012-2013,P4,Women In Film & Television Vancouver Society,Vancouver,Colombie-Britannique,Canada,Genre Workshop - 8th Annual Vancouver International Women in Film Festival,Anglais,0,2013-03-04,3500.00,3500.00,Contribution,Programme de promotion,
2012-2013,P4,Funfilm Distribution Inc.,Montréal,Québec,Canada,Bestiaire,Français,Documentaire,2013-03-06,11063.00,12331.00,Avance remboursable,Programme de mise en marché à l'international,Contrat amendé signé le 05-MAR-12
2012-2013,P4,Filmoption International inc.,Westmount,Québec,Canada,"Roche, papier, ciseaux...",Français,Drame,2013-03-06,341236.00,50000.00,Avance remboursable,Programme de mise en marché,Contrat amendé signé le 26-JUL-12
2012-2013,P4,Films Séville Inc. (Les) / Seville Pictures Inc.,Montréal,Québec,Canada,Inch'Allah,Français,Drame,2013-03-06,10000.00,10000.00,Contribution,Programme de mise en marché à l'international,
2012-2013,P4,Caravane Films Productions,Chicoutimi,Québec,Canada,Développement canadien de REGARD sur le court métrage,Français,0,2013-03-06,25000.00,25000.00,Contribution,Programme de promotion,
2012-2013,P4,Forum Films (Tokyo) inc.,Montréal,Québec,Canada,Tokyo Fiancee,Français,Comédie romantique,2013-03-06,175000.00,175000.00,"Investissement, Avance remboursable",Programme d'aide à la production,
2012-2013,P4,January Films Ltd.,Toronto,Ontario,Canada,Portfolio 2012-2013 January Films Limited,Anglais,Comédie,2013-03-07,34900.00,40500.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 07-MAR-13
2012-2013,P4,January Films Ltd.,Toronto,Ontario,Canada,Portfolio 2012-2013 January Films Limited,Anglais,Drame,2013-03-07,40500.00,40500.00,Avance remboursable,Programme d'aide au développement,Contrat amendé signé le 07-MAR-13
2012-2013,P4,Storyline Fx Inc.,Winnipeg,Manitoba,Canada,Freeze Frame 18th Annual International Film Festival for Kids of All Ages 2013,Anglais,0,2013-03-07,8500.00,8500.00,Contribution,Programme de promotion,
